Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,color_siblings (product.metafields.custom.color_siblings),dimensions (product.metafields.custom.dimensions)
calvium-vector-transit,Calvium Vector Transit,"<p>The Calvium Vector Transit Backpack is a modern and versatile backpack designed for travel, work, and everyday commuting. Its spacious multi-compartment interior provides organized storage for a laptop, tablet, clothes, documents, chargers, and other daily essentials. Multiple zippered pockets offer convenient access to smaller belongings, while adjustable side straps help maintain a compact and secure profile. The padded shoulder straps, breathable mesh back panel, and chest support strap provide enhanced comfort during extended use. Built with a sleek, lightweight design and practical organization, this backpack is an ideal companion for business trips, college, office commutes, weekend travel, and daily adventures. CODES COLOUR QUANTITY</p>",Calvium,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Barrel Bags",Unisex Crossbody Bag,"On the Move, Unisex Crossbody Bag, New Arrivals, color-group:vector-transit",true,,,,,,,,,,H 0034,0.0,shopify,15,deny,manual,4200.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0958/3106/4948/files/4_323ad305-a7d0-4c32-aeab-a17d4040c203.png?v=1770628215,1,,false,,,,,,,,,,,kg,,,active,,<ul><li><strong>Height:</strong> 43 cm</li><li><strong>Width:</strong> 32 cm</li><li><strong>Base:</strong> 12 cm</li></ul>
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-vector-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvium-fluit-forest-green,Calvium Fluit | Forest Green,"<p>The Calvium Fluit Handbag combines elegant design with everyday functionality, making it a stylish choice for modern women. Its structured silhouette, smooth finish, curved flap design, and refined top handle create a sophisticated and timeless appearance. The spacious interior provides convenient storage for essentials such as a smartphone, wallet, cosmetics, keys, and other personal items. A detachable and adjustable shoulder strap offers versatile carrying options, allowing the bag to be worn by hand, over the shoulder, or crossbody. Perfect for work, shopping, dinners, travel, and casual outings, this elegant handbag effortlessly complements both contemporary and classic wardrobes.</p>",Calvium,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags > Shoulder Bags",Hobo Shoulder Bag,"Everyday Icons, Hobo Shoulder Bag, New Arrivals, Color: Forest Green, color-group:fluit, color:forest-green",true,,,product.metafields.shopify.color-pattern,,,,,,,H 0033-forest-green,0.0,shopify,15,deny,manual,4400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0958/3106/4948/files/1YI_3q0q20Ic1MCNAv3aZg7LSbKH8D_ag_s2400_b604bd5b-a19f-4347-aa4f-7bd6c0748202.jpg?v=1785267062,1,Calvium Fluit | Forest Green,false,,,,,,,,green; tan; wine,,https://cdn.shopify.com/s/files/1/0958/3106/4948/files/01_13cb9974-00f9-4a0f-a8df-c79bf9f5a470.jpg?v=1769753138,kg,,,active,"calvium-fluit-forest-green,calvium-fluit-cognac-tan,calvium-fluit-bordeaux",<ul><li><strong>Height:</strong> 13 cm</li><li><strong>Width:</strong> 22 cm</li><li><strong>Base:</strong> 9 cm</li></ul>
